Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,458479635,5882.061210583309,11771828,151.02658345219317,1413309,6047653,77.58832107421256,41635,0.5341559358522795,3805,
United States of America,Americas,78793916,23804.618,248897,75.195,0,960703,290.24,9355,2.826,0
India,South-East Asia,42996062,3115.647,24754,1.794,2568,515974,37.389,764,0.055,97
Brazil,Americas,29368776,13816.737,319763,150.435,18642,655078,308.186,2935,1.381,133
France,Europe,22824960,35094.073,441577,678.938,10266,137147,210.868,824,1.267,176
The United Kingdom,Europe,19700956,29020.645,416521,613.559,59590,162873,239.921,366,0.539,35
Germany,Europe,17432617,20961.051,1406401,1691.062,198888,125873,151.35,1423,1.711,283
Russian Federation,Europe,17412919,11932.013,331525,227.174,36678,361902,247.989,4301,2.947,558
Turkey,Europe,14575178,17281.645,187838,222.718,24404,96620,114.561,939,1.113,133
Italy,Europe,13402905,22472.452,354131,593.766,29698,156997,263.235,980,1.643,129
Spain,Europe,11260125,23789.358,116923,247.024,16411,101416,214.262,602,1.272,95
Argentina,Americas,8976079,19860.439,33191,73.438,4647,127257,281.568,415,0.918,70
Republic of Korea,Western Pacific,7228550,14099.21,2358878,4600.966,362338,10888,21.237,1606,3.132,293
Netherlands,Europe,7214075,41442.136,442546,2542.26,45908,21713,124.733,104,0.597,6
Iran (Islamic Republic of),Eastern Mediterranean,7126906,8485.124,30588,36.417,3813,139063,165.565,947,1.127,114
Viet Nam,Western Pacific,6377438,6551.809,1795380,1844.469,264790,41477,42.611,586,0.602,92
Colombia,Americas,6076819,11942.755,5115,10.052,486,139297,273.76,206,0.405,14
Indonesia,South-East Asia,5900124,2157.08,99871,36.513,0,152437,55.731,1606,0.587,0
Poland,Europe,5836672,15376.603,76174,200.679,12690,113622,299.335,855,2.252,178
Japan,Western Pacific,5808242,4592.35,374134,295.813,35846,26262,20.764,1213,0.959,108
Mexico,Americas,5606827,4348.644,40158,31.146,1191,321103,249.047,1202,0.932,49
Ukraine,Europe,4912528,11232.805,33189,75.889,6120,107269,245.277,530,1.212,85
Malaysia,Western Pacific,3845601,11881.608,196138,606,22030,33899,104.736,594,1.835,92
Israel,Europe,3726913,43058.117,40875,472.241,6521,10392,120.062,45,0.52,3
Czechia,Europe,3696837,34569.46,54105,505.941,10829,39216,366.712,181,1.693,20
South Africa,Africa,3695175,6230.411,10055,16.954,671,99725,168.146,116,0.196,0
Philippines,Western Pacific,3671293,3350.298,3025,2.761,554,57625,52.587,559,0.51,15
Belgium,Europe,3658084,31747.477,42546,369.245,11,30445,264.224,115,0.998,2
Peru,Americas,3536496,10725.803,8947,27.135,770,211546,641.596,438,1.328,64
Portugal,Europe,3413013,33149.215,75207,730.455,0,21342,207.286,126,1.224,0
Canada,Americas,3360142,8902.889,36804,97.514,1631,36881,97.718,-105,-0.278,9
Chile,Americas,3313242,17332.115,110680,578.985,11495,44005,230.197,779,4.075,126
Thailand,South-East Asia,3226697,4622.777,159897,229.079,19742,23848,34.166,479,0.686,70
Austria,Europe,3219891,36174.226,300518,3376.203,35894,14578,163.778,134,1.505,10
Australia,Western Pacific,3216770,12614.842,209027,819.717,26040,5591,21.926,143,0.561,5
Switzerland,Europe,3127503,36136.812,148101,1711.237,20,12786,147.736,27,0.312,0
Denmark,Europe,2958497,50809.161,82209,1411.856,7892,5196,89.236,291,4.998,21
Romania,Europe,2794081,14455.504,22632,117.089,2087,64381,333.083,388,2.007,20
Greece,Europe,2658296,24800.857,141185,1317.201,22682,26635,248.494,389,3.629,73
Sweden,Europe,2469476,23911.447,10109,97.883,409,17874,173.07,58,0.562,2
Iraq,Eastern Mediterranean,2313370,5751.434,4442,11.044,657,25105,62.415,37,0.092,6
Bangladesh,South-East Asia,1949725,1183.88,1577,0.958,0,29112,17.677,16,0.01,0
Serbia,Europe,1942727,28046.914,14878,214.792,2211,15604,225.273,141,2.036,17
Hungary,Europe,1814362,18571.648,7077,72.44,0,44653,457.064,158,1.617,0
Jordan,Eastern Mediterranean,1680179,16467.283,25502,249.943,0,13959,136.811,77,0.755,0
Georgia,Europe,1637691,41053.376,8626,216.235,1716,16585,415.75,155,3.886,16
Slovakia,Europe,1586140,29061.504,63408,1161.771,9654,18979,347.736,229,4.196,29
Pakistan,Eastern Mediterranean,1519154,687.735,4140,1.874,462,30309,13.721,37,0.017,2
Kazakhstan,Europe,1392982,7418.67,732,3.898,55,18995,101.163,15,0.08,0
Ireland,Europe,1353733,27268.594,31364,631.773,2100,6624,133.429,48,0.967,13
Norway,Europe,1351881,25186.043,27756,517.105,0,1751,32.622,3,0.056,0
Morocco,Eastern Mediterranean,1162125,3148.489,427,1.157,29,16043,43.465,21,0.057,4
Bulgaria,Europe,1115132,16041.644,11344,163.188,2433,36162,520.206,239,3.438,64
Lebanon,Eastern Mediterranean,1085232,15899.798,5857,85.811,632,10211,149.602,50,0.733,5
Cuba,Americas,1077405,9512.153,3901,34.441,620,8503,75.071,2,0.018,0
Croatia,Europe,1073527,26453.508,9542,235.131,141,15354,378.348,120,2.957,18
Tunisia,Eastern Mediterranean,1029596,8711.644,12702,107.474,0,28062,237.439,103,0.872,0
Nepal,South-East Asia,977987,3356.534,346,1.188,0,11950,41.013,1,0.003,0
Lithuania,Europe,968723,34670.429,29600,1059.379,4507,8659,309.904,90,3.221,9
Singapore,Western Pacific,948478,16212.351,102137,1745.83,9042,1153,19.708,69,1.179,8
Belarus,Europe,942334,9972.505,10127,107.172,1166,6670,70.587,91,0.963,9
Slovenia,Europe,918762,43836.972,14195,677.287,906,7237,345.3,18,0.859,0
Mongolia,Western Pacific,915908,27938.59,2242,68.389,97,2105,64.21,1,0.031,0
Bolivia (Plurinational State of),Americas,897489,7688.575,2065,17.69,0,21473,183.954,4,0.034,0
United Arab Emirates,Eastern Mediterranean,885703,8955.177,2433,24.6,296,2302,23.275,0,0,0
Uruguay,Americas,864376,24883.224,10001,287.904,1011,7095,204.247,49,1.411,5
Ecuador,Americas,849386,4814.28,7811,44.272,203,35347,200.345,38,0.215,0
Costa Rica,Americas,822935,16154.612,6217,122.043,0,8160,160.185,47,0.923,0
Guatemala,Americas,805030,4493.466,12069,67.366,321,17153,95.744,70,0.391,9
Azerbaijan,Europe,790820,7799.648,1339,13.206,53,9618,94.86,87,0.858,7
China,Western Pacific,777624,52.853,148386,10.085,15717,9768,0.664,1992,0.135,286
Finland,Europe,767220,13885.601,37677,681.901,3038,2719,49.21,1,0.018,0
Panama,Americas,759636,17605.493,2068,47.928,175,8137,188.585,23,0.533,5
Saudi Arabia,Eastern Mediterranean,748915,2151.197,1200,3.447,146,9020,25.909,11,0.032,2
Latvia,Europe,744433,39023.052,40299,2112.467,2097,5429,284.587,84,4.403,8
Sri Lanka,South-East Asia,656386,3065.327,2725,12.726,0,16407,76.621,57,0.266,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,654068,12821.308,1770,34.696,214,5622,110.205,39,0.764,6
Paraguay,Americas,645883,9055.444,2004,28.097,115,18538,259.907,67,0.939,9
Kuwait,Eastern Mediterranean,626114,14661.131,2345,54.911,316,2552,59.758,6,0.14,1
Myanmar,South-East Asia,606227,1114.187,5207,9.57,0,19411,35.676,17,0.031,0
Dominican Republic,Americas,576641,5315.688,638,5.881,274,4374,40.321,3,0.028,0
Bahrain,Eastern Mediterranean,538794,31664.429,9960,585.34,1399,1463,85.979,4,0.235,0
Estonia,Europe,534788,40240.606,14381,1082.111,2699,2367,178.107,59,4.44,8
Venezuela (Bolivarian Republic of),Americas,518410,1823.08,1593,5.602,107,5658,19.897,9,0.032,1
Republic of Moldova,Europe,508578,12607.404,2582,64.007,343,11357,281.535,59,1.463,7
Libya,Eastern Mediterranean,500304,7281.076,1851,26.938,304,6350,92.413,42,0.611,6
Egypt,Eastern Mediterranean,495373,484.073,3481,3.402,0,24277,23.723,55,0.054,0
Puerto Rico,Americas,476102,16641.96,1195,41.771,39,4150,145.062,15,0.524,0
Ethiopia,Africa,469222,408.148,215,0.187,38,7486,6.512,10,0.009,0
Armenia,Europe,422076,14243.762,535,18.055,55,8579,289.515,27,0.911,3
